objective_parameter,scenario_of_interest,robustness_metric,year,flood_urb,Value,normalized_values,pw_combi
Municipality_Measure_Costs,D,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,20,01,21.58,0.07,00_00_01_00
Municipality_Measure_Costs,D,average,20,03,26.85,0.08,00_00_03_00
Municipality_Measure_Costs,D,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D,average,20,11,22.34,0.07,00_00_11_00
Municipality_Measure_Costs,D,average,20,13,28.16,0.09,00_00_13_00
Municipality_Measure_Costs,D,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,60,01,118.42,0.22,00_00_01_00
Municipality_Measure_Costs,D,average,60,03,115.67,0.21,00_00_03_00
Municipality_Measure_Costs,D,average,60,05,140.4,0.26,00_00_05_00
Municipality_Measure_Costs,D,average,60,07,358.6,0.65,00_00_07_00
Municipality_Measure_Costs,D,average,60,09,153.2,0.28,00_00_09_00
Municipality_Measure_Costs,D,average,60,11,191.16,0.35,00_00_11_00
Municipality_Measure_Costs,D,average,60,13,223.79,0.41,00_00_13_00
Municipality_Measure_Costs,D,average,100,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D,average,100,01,235.6,0.33,00_00_01_00
Municipality_Measure_Costs,D,average,100,03,228.57,0.32,00_00_03_00
Municipality_Measure_Costs,D,average,100,05,154.6,0.21,00_00_05_00
Municipality_Measure_Costs,D,average,100,07,381.0,0.53,00_00_07_00
Municipality_Measure_Costs,D,average,100,09,153.2,0.21,00_00_09_00
Municipality_Measure_Costs,D,average,100,11,452.05,0.63,00_00_11_00
Municipality_Measure_Costs,D,average,100,13,587.02,0.82,00_00_13_00
Municipality_Measure_Costs,D&G,average,20,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,20,01,21.58,0.07,00_00_01_00
Municipality_Measure_Costs,D&G,average,20,03,26.85,0.08,00_00_03_00
Municipality_Measure_Costs,D&G,average,20,05,56.0,0.17,00_00_05_00
Municipality_Measure_Costs,D&G,average,20,07,145.7,0.44,00_00_07_00
Municipality_Measure_Costs,D&G,average,20,09,71.0,0.22,00_00_09_00
Municipality_Measure_Costs,D&G,average,20,11,22.34,0.07,00_00_11_00
Municipality_Measure_Costs,D&G,average,20,13,28.16,0.09,00_00_13_00
Municipality_Measure_Costs,D&G,average,60,00,0.0,0.0,00_00_00_00
Municipality_Measure_Costs,D&G,average,60,01,124.05,0.23,00_00_01_00
Municipality_Measure_Costs,D&G,average,60,03,121.27,0.22,00_00_03_00
